university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Oxford Brookes University,2022,429,26.9,https://www.topuniversities.com/universities/oxford-brookes-university,United Kingdom,"",Europe,https://www.topuniversities.com/sites/default/files/oxford-brookes-university_592560cf2aeae70239af4c61_small.jpg,Public,High,15,3.439,L,"1,471"
Universidade Nova de Lisboa,2022,431,26.8,https://www.topuniversities.com/universities/universidade-nova-de-lisboa,Portugal,Lisbon,Europe,https://www.topuniversities.com/sites/default/files/universidade-nova-de-lisboa_460_small.jpg,Public,Very High,12,4.427,L,1.720
"Essex, University of",2022,439,26.5,https://www.topuniversities.com/universities/essex-university,United Kingdom,Colchester,Europe,https://www.topuniversities.com/sites/default/files/university-of-essex_592560cf2aeae70239af4b4c_small.jpg,Public,Very High,14,6.124,L,1.044
Swansea University,2022,440,26.3,https://www.topuniversities.com/universities/swansea-university,United Kingdom,Swansea,Europe,https://www.topuniversities.com/sites/default/files/swansea-university_592560cf2aeae70239af4cce_small.jpg,Public,High,11,3.641,L,3290
University of Cyprus (UCY),2022,440,26.3,https://www.topuniversities.com/universities/university-cyprus-ucy,Cyprus,Nicosia,Europe,https://www.topuniversities.com/sites/default/files/university-of-cyprus-ucy_14238_small.jpg,Public,Very High,21,874,M,318
University of Trento,2022,440,26.3,https://www.topuniversities.com/universities/university-trento,Italy,Trento,Europe,https://www.topuniversities.com/sites/default/files/university-of-trento_623_small.jpg,Public,Very High,13,738,L,1.066
University of Tromsø The Arctic University of Norway,2022,440,26.3,https://www.topuniversities.com/universities/university-tromso-arctic-university-norway,Norway,Tromsø,Europe,https://www.topuniversities.com/sites/default/files/university-of-troms-the-arctic-university-of-norway_625_small.jpg,Public,High,7,1.134,L,2.107
Universität  Leipzig,2022,447,26,https://www.topuniversities.com/universities/universitat-leipzig,Germany,Leipzig,Europe,https://www.topuniversities.com/sites/default/files/universitt-leipzig_341_small.jpg,Public,Very High,7,3.174,L,4.119
Universität des Saarlandes,2022,447,26,https://www.topuniversities.com/universities/universitat-des-saarlandes,Germany,Saarbrücken,Europe,https://www.topuniversities.com/sites/default/files/universitt-des-saarlandes_541_small.jpg,Public,High,6,2.939,L,2.823
University of Milano-Bicocca,2022,450,25.9,https://www.topuniversities.com/universities/university-milano-bicocca,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/university-of-milano-bicocca_14336_small.jpg,Public,Very High,42,2.153,XL,784
University of Florence,2022,451,25.8,https://www.topuniversities.com/universities/university-florence,Italy,Florence,Europe,https://www.topuniversities.com/sites/default/files/university-of-florence_208_small.jpg,Public,Very High,20,4.203,XL,1.775
University of Coimbra,2022,455,25.7,https://www.topuniversities.com/universities/university-coimbra,Portugal,Coimbra,Europe,https://www.topuniversities.com/sites/default/files/university-of-coimbra_592560cf2aeae70239af4b07_small.jpg,Public,Very High,13,4.477,L,1.740
Universidad Politécnica de Madrid (UPM),2022,459,25.5,https://www.topuniversities.com/universities/universidad-politecnica-de-madrid,Spain,Madrid,Europe,https://www.topuniversities.com/sites/default/files/politcnica-de-madrid_1507_small.jpg,Public,Very High,13,5.319,XL,2.486
University of St.Gallen (HSG),2022,459,25.5,https://www.topuniversities.com/universities/university-stgallen-hsg,Switzerland,St. Gallen,Europe,https://www.topuniversities.com/sites/default/files/university-of-st.gallen-hsg_571_small.jpg,Public,Very High,20,2.390,M,444
Far Eastern Federal University,2022,461,25.4,https://www.topuniversities.com/universities/far-eastern-federal-university,Russia,Vladivostok,Europe,https://www.topuniversities.com/sites/default/files/far-eastern-federal-university_592560cf2aeae70239af57c9_small.jpg,Public,High,6,3.262,L,2.268
"Goldsmiths, University of London",2022,461,25.4,https://www.topuniversities.com/universities/goldsmiths-university-london,United Kingdom,London,Europe,https://www.topuniversities.com/sites/default/files/goldsmiths-university-of-london_355_small.jpg,Public,Very High,13,3.492,M,683
Martin-Luther-Universität Halle-Wittenberg,2022,461,25.4,https://www.topuniversities.com/universities/martin-luther-universitat-halle-wittenberg,Germany,Halle,Europe,https://www.topuniversities.com/sites/default/files/martin-luther-universitt-halle-wittenberg_245_small.jpg,Public,High,7,1.682,L,2.942
Hasselt University,2022,471,25.1,https://www.topuniversities.com/universities/hasselt-university,Belgium,Diepenbeek,Europe,https://www.topuniversities.com/sites/default/files/hasselt-university_1255_small.jpg,Public,Very High,7,736,M,743
University of Stirling,2022,471,25.1,https://www.topuniversities.com/universities/university-stirling,United Kingdom,Stirling,Europe,https://www.topuniversities.com/sites/default/files/university-of-stirling_575_small.jpg,Public,Very High,14,2.563,M,728
Université de Liège,2022,480,24.7,https://www.topuniversities.com/universities/universite-de-liege,Belgium,Arlon,Europe,https://www.topuniversities.com/sites/default/files/universit-de-lige_592560cf2aeae70239af4bd9_small.jpg,Public,Very High,13,4.381,L,1.619
Aston University,2022,485,24.5,https://www.topuniversities.com/universities/aston-university,United Kingdom,Birmingham,Europe,https://www.topuniversities.com/sites/default/files/aston-university_29_small.jpg,Public,Very High,16,1.719,M,730
University of Turin,2022,485,24.5,https://www.topuniversities.com/universities/university-turin,Italy,Turin,Europe,https://www.topuniversities.com/sites/default/files/university-of-turin_632_small.jpg,Public,Very High,26,4.721,XL,2.261
The National University of Science and Technology MISIS,2022,487,24.4,https://www.topuniversities.com/universities/national-university-science-technology-misis,Russia,Moscow,Europe,https://www.topuniversities.com/sites/default/files/the-national-university-of-science-and-technology-misis_14956_small.jpg,Public,Very High,8,1.605,M,915
Dublin City University,2022,490,24.3,https://www.topuniversities.com/universities/dublin-city-university,Ireland,Dublin,Europe,https://www.topuniversities.com/sites/default/files/dublin-city-university_592560cf2aeae70239af4b27_small.jpg,Public,High,11,1.415,L,1.257
Justus-Liebig-University Giessen,2022,490,24.3,https://www.topuniversities.com/universities/justus-liebig-university-giessen,Germany,Giessen,Europe,https://www.topuniversities.com/sites/default/files/justus-liebig-university-giessen_592560cf2aeae70239af4b68_small.jpg,Public,High,44,2.291,L,611
University of Granada,2022,492,24.2,https://www.topuniversities.com/universities/university-granada,Spain,Granada,Europe,https://www.topuniversities.com/sites/default/files/university-of-granada_235_small.jpg,Public,Very High,19,5.611,XL,2.682
Christian-Albrechts-University zu Kiel,2022,494,24.1,https://www.topuniversities.com/universities/christian-albrechts-university-zu-kiel,Germany,Kiel,Europe,https://www.topuniversities.com/sites/default/files/christian-albrechts-university-zu-kiel_318_small.jpg,Public,Very High,9,2.161,L,2.889
"University of Rome """"""""Tor Vergata""""""""",2022,494,24.1,https://www.topuniversities.com/universities/university-rome-tor-vergata,Italy,Rome,Europe,https://www.topuniversities.com/sites/default/files/university-of-rome-tor-vergata_592560cf2aeae70239af4c99_small.jpg,Public,Very High,17,3.505,L,1.446
